dataset,model,fusion,mean,std,count
Multiple_Sclerosis,difference_v3,attention,67.46326,1.0837173192304275,5
Multiple_Sclerosis,difference_v3,concatenation,62.74942,1.8740543340575788,5
Multiple_Sclerosis,difference_v3,gating,62.77136,1.011887757115384,5
Multiple_Sclerosis,difference_v3,weighted_avg,66.02128,0.7516437866436487,5
Multiple_Sclerosis,genept,attention,72.81202,0.8548167739346287,5
Multiple_Sclerosis,genept,concatenation,68.47358,1.078211336890879,5
Multiple_Sclerosis,genept,gating,68.92085999999999,0.8043506157143193,5
Multiple_Sclerosis,genept,weighted_avg,72.01437999999999,0.9595742608052852,5
Myeloid,difference_v3,attention,58.30047999999999,0.6530211459057064,5
Myeloid,difference_v3,concatenation,47.98684,2.245097600996447,5
Myeloid,difference_v3,gating,51.53768,0.3216068516061172,5
Myeloid,difference_v3,weighted_avg,55.0683,0.6042263028038428,5
Myeloid,genept,attention,61.3303,0.7316895345705045,5
Myeloid,genept,concatenation,52.9388,1.3567156831849483,5
Myeloid,genept,gating,56.216480000000004,0.5732417003324172,5
Myeloid,genept,weighted_avg,59.58522000000001,0.5338261673990876,5
lupus,difference_v3,attention,41.33332,0.2957686798834518,5
lupus,difference_v3,concatenation,71.64534,0.4203558290306037,5
lupus,difference_v3,gating,68.91334,0.1882743291051691,5
lupus,difference_v3,weighted_avg,71.02668,0.18588467392444857,5
lupus,genept,attention,41.51066,0.3212554559847982,5
lupus,genept,concatenation,73.05332,0.5311004302389499,5
lupus,genept,gating,71.02131999999999,0.23567077035559497,5
lupus,genept,weighted_avg,72.38798,0.17413519747598685,5
pancread,difference_v3,attention,95.6455,0.3045258773897534,5
pancread,difference_v3,concatenation,91.9928,0.891467744789458,5
pancread,difference_v3,gating,83.87766,0.78198242819132,5
pancread,difference_v3,weighted_avg,94.40848,0.49599834374723867,5
pancread,genept,attention,96.21234000000001,0.27756244882909253,5
pancread,genept,concatenation,94.8853,0.6547049373572826,5
pancread,genept,gating,86.06838,0.5805713539264594,5
pancread,genept,weighted_avg,96.17184,0.407795099283946,5
scfoundation,difference_v3,attention,58.726639999999996,0.9570108896977102,5
scfoundation,difference_v3,concatenation,56.826679999999996,1.0134961257942734,5
scfoundation,difference_v3,gating,54.88632,1.3135153394612487,5
scfoundation,difference_v3,weighted_avg,58.57504,1.4409642441781836,5
scfoundation,genept,attention,59.110659999999996,0.9610234482050861,5
scfoundation,genept,concatenation,56.149559999999994,1.3508988814859533,5
scfoundation,genept,gating,55.189499999999995,1.2659983905992962,5
scfoundation,genept,weighted_avg,59.17128,0.8918183262301793,5
